text,intent
trà Shan Tuyết hãng nào,hoi_thuong_hieu
tìm sản phẩm dưới 300k giúp mình,tim_san_pham_theo_gia
có thanh toán qua momo khg,phuong_thuc_thanh_toan
cái hạt điều rang muối này bao tiền,hoi_gia
đơn bao nhiêu thì được freeship giúp mình,hoi_phi_ship
ship đơn hàng hết bao nhiêu,hoi_phi_ship
nếu hàng ko giống hình thì sao,chinh_sach_doi_tra
có ưu đãi cho đơn hàng lớn khg,khuyen_mai
thêm hạt điều rang muối giúp mình,them_vao_gio_hang
khi nào mua mình nhắn lại nhé,tam_biet
hạt mắc ca bán theo đơn vị nào,hoi_don_vi
cho mình tiến hành đặt đơn,bat_dau_dat_hang
cho mình dùng chuyển khoản ngân hàng,chon_phuong_thuc_thanh_toan
CF-001 còn hàng không vậy,kiem_tra_ton_kho
"cảm ơn, mình sẽ quay lại nhé",tam_biet
shop có voucher không,khuyen_mai
giúp mình thiết lập phương thức thanh toán,chon_phuong_thuc_thanh_toan
hạt điều rang muối bao nhiêu gam,hoi_khoi_luong
hộp quà Tết tính theo gì,hoi_don_vi
"địa chỉ giao hàng là 15 Cách Mạng Tháng 8, TP Hồ Chí Minh",nhap_dia_chi_giao_hang
bye shop nhé,tam_biet
thanh toán đơn vừa tạo giúp mình,thanh_toan_don_hang
bỏ trà Shan Tuyết khỏi giỏ hàng,xoa_khoi_gio_hang
nên mua sản phẩm nào,goi_y_san_pham
thời gian vận chuyển khoảng bao lâu vậy,thoi_gian_giao_hang
chốt đơn giúp mình ngay,xac_nhan_dat_hang
tư vấn giúp mình với,chao_hoi
cảm ơn shop shop,cam_on
thông tin sản phẩm hộp quà Tết,chi_tiet_san_pham
cho mình thêm cà phê Arabica Cầu Đất vào giỏ,them_vao_gio_hang
trà Ô Long được sản xuất ở đâu,hoi_nguon_goc
tôi muốn xóa tất cả hàng đang có trong giỏ,xoa_tat_ca_gio_hang
xóa hết những sản phẩm trong giỏ của mình,xoa_tat_ca_gio_hang
giúp mình bỏ toàn bộ sản phẩm khỏi giỏ,xoa_tat_ca_gio_hang
tôi muốn xóa sạch mọi thứ khỏi giỏ hàng,xoa_tat_ca_gio_hang
hãy dọn sạch toàn bộ giỏ hàng,xoa_tat_ca_gio_hang
bỏ hạt mắc ca khỏi giỏ,xoa_khoi_gio_hang
cà phê Arabica Cầu Đất có gì đặc biệt,chi_tiet_san_pham
mình muốn xem hạt điều rang muối,tim_kiem_san_pham
"địa chỉ ship hàng của mình là 31 Lê Lợi, Quy Nhơn",nhap_dia_chi_giao_hang
hạt điều rang muối bao nhiêu tiền,hoi_gia
cho mình hỏi nguồn gốc quà doanh nghiệp,hoi_nguon_goc
măng khô tây bắc hãng nào,hoi_thuong_hieu
có thể hủy đơn không vậy,huy_don_hang
có freeship không,hoi_phi_ship
tôi muốn đặt hàng cho 2 hộp trà,bat_dau_dat_hang
tôi ko hiểu,khong_hieu
xóa hạt mắc ca trong giỏ,xoa_khoi_gio_hang
shop có hỗ trợ đổi trả không,chinh_sach_doi_tra
đặt hôm nay khi nào có giúp mình,thoi_gian_giao_hang
thêm hạt mắc ca vào giỏ nhé,them_vao_gio_hang
shop ơi vậy,chao_hoi
cà phê Arabica Cầu Đất có nguồn gốc ở đâu,hoi_nguon_goc
kiểm tra đơn hàng giúp mình nhé,tra_cuu_don_hang
shop hiện có những sản phẩm đặc sản nào,tim_kiem_san_pham
